ID,Name,Distinction,Sustainable,Bibendum,Country,City,Price,Type,Tel,IMG,Address,Description
129,頤宮,3,FALSE,FALSE,臺灣,台北,$$$$,粵菜,+886221819985,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/2a7ba14182ce4e6e8d8a3f859829204c,大同區承德路一段3號17樓 (君品酒店)，Taipei，103，臺灣,環境雅致舒適，不論是瓷器或仿古書畫，還是餐墊上對應時令的詩詞，處處展現古典氛圍。雖然雙主廚自2023年春季起已成絕響，留任的香港主廚仍致力為賓客帶來精美的廣東佳餚，先知鴨、火焰片皮鴨，以及古法冬瓜帽等仍深受歡迎。此外，金銀蛋蒜香莧菜餃賣相和滋味俱佳，適合作為前菜，開啟這場精彩饗宴。建議預訂招牌菜色。
276,態芮,3,FALSE,FALSE,臺灣,台北,$$$$,時尚臺灣菜,+886285015500,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/118bacc7f0834d29a235812f4c2a8b18,中山區樂群三路299號6樓，Taipei，104，臺灣,主廚何順凱兼具臺菜與法餐經驗，烹飪風格緊扣臺灣的風土民情。他透過廣泛運用在地食材，緊貼時令加以變化，將臺灣料理重新詮釋。單一套餐的概念取材自這片土地的飲食文化、經典美食，以及其兒時回憶，並多以諧音成語命名，使用餐過程增添趣味。以在地茶葉、時令水果和果乾構成的甜點，給饗宴畫下完美句點。
311,JL Studio,3,FALSE,FALSE,臺灣,台中,$$$$,新加坡菜,+886423803570,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f8c51ddf3aae44b084b1ed470ee19f45,南屯區益豐路四段689號2樓，Taichung，408，臺灣,新加坡主廚以其英文名字Jimmy Lim為餐廳命名，其獨到的烹飪靈感和創意，源自過往在歐陸餐廳累積的豐富經驗，還有父親經營過的美食小販攤位。品嚐菜單富原創性，結合在地食材、法式料理技巧和新加坡飲食文化，加上各種香料搭配平衡，使菜色味道精巧細緻，且極富層次。相得益彰的是服務同樣出色，令人感覺溫暖。
20,渥達尼斯磨坊,2,FALSE,FALSE,臺灣,台北,$$$$,時尚西班牙菜,+886225006770,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/577ca6c52f514833b2e5858a40bc4d0f,中山區建國北路一段61號 (慕舍酒店)，Taipei，10491，臺灣,店面內鬥牛士和佛朗明哥舞者的畫作，盡顯西班牙的熱情風格。由兩位在本店受訓的主廚共同領軍，選取來自臺灣和日本的食材，融合西班牙料理及亞洲飲食文化，為賓客帶來豐富多樣、以海鮮為主軸的嚐味菜單。每道菜色的呈現皆猶如畫作，無論色彩或食材的運用，都遵循季節循環之變化，風味細緻，獨樹一格。
38,牡丹,2,FALSE,FALSE,臺灣,台北,$$$$,天婦羅,+886227068699,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/e38a809add894462baf8c5583c05fb17,大安區四維路52巷17號，Taipei，106，臺灣,極簡的裝飾與庭院造景，加上細膩服務，讓人愜意地享受天婦羅饗宴。料理長擁有數十年經驗，對食材特性、火候與油溫有透徹瞭解，每道菜僅掛上薄如蟬翼的麵衣，完美呈現食材的最佳狀態。單一套餐精選在地與日本的時令海鮮，並穿插各種蔬食，最後以手工蓮藕蕨餅與茶點畫下完美句點。僅接受12:30及18:30的訂位，須提前規劃。
42,logy,2,FALSE,FALSE,臺灣,台北,$$$,時尚亞洲菜,訪問網,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/c165fdf1913946099f24cd4a6d2c74e5,大安區安和路一段109巷6號，Taipei，106，臺灣,承襲其東京姊妹店的裝潢風格，以混凝土灰黑色調搭配板前座位，予人沉穩且神秘之感。出生於日本北海道的主廚，喜愛選用家鄉的魚獲搭配臺灣食材，同時結合日本料理與法、義烹飪手法，巧妙地呈現亞洲菜的當代風貌。招牌茶碗蒸除了加入牛肉清湯，更以芹菜及當歸葉的冰沙提味，別樹一幟。訂位不易，須提前規劃。
46,侯布雄,2,FALSE,FALSE,臺灣,台北,$$$$,時尚法國菜,+886287292628,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/71a931651d28403d9f8da0314ea9c477,信義區松仁路28號5樓 (寶麗廣場)，Taipei，110，臺灣,貫徹集團其他分店的設計風格，以紅黑色調，搭配富情調的燈光和開放式廚房，充滿個性。日籍主廚於集團工作多年，深諳經典菜色精髓，並在保留經典菜餚的同時，巧妙融入東洋風格。菜單之中，多款海鮮料理都是他的拿手品項，值得品嚐。餐廳提供套餐、單點和小份量菜色，選擇多元。
63,Liberté,2,FALSE,FALSE,臺灣,高雄,$$$$,現代菜,+88673347810,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/f98183f4984d43878efb7740f85f552c,前鎮區中華五路802號，Kaohsiung，臺灣,Liberté在法語解作「自由」，日籍主廚以此給餐廳取名，如同他創作的菜色不受規限，帶來層出不窮的新口味。七道菜套餐以日本食材結合法式烹調基礎，味道平衡且充滿層次，並由廚師團隊親自上桌為客人說菜。受臺灣湯品啟發的千層酥皮湯為其招牌。精心挑選的酒飲搭配也不容錯過。整室採用極簡設計，加上專業的服務人員，令人倍感自在。
104,RAW,2,FALSE,FALSE,臺灣,台北,$$$$,創新菜,+886285015800,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/bbd7a04e71014fcb8f2e798378759ecc,中山區樂群三路301號，Taipei，104，臺灣,廚師江振誠在其出生地的餐廳，內部由兩個巨形流線型木製雕刻貫穿，視覺效果驚艷。食物亦同樣引人注目，十道菜套餐擺盤精緻，以獨特的風味、質感和溫度來重塑臺灣美食。菜單靈感源自主廚的旅遊經歷，內容會隨季節變更。然而要從網上系統成功訂位，確實需要多一點的耐性與堅持。
136,山海樓,1,TRUE,FALSE,臺灣,台北,$$$,臺灣菜,+886223513345,https://axwwgrkdco.cloudimg.io/v7/__gmpics__/4fddd96e8c0247bc8e0a2c55a2886ee3,中正區仁愛路二段94號，Taipei，100，臺灣,大堂氣勢非凡，彷彿把時光拉回1930年代。主廚師承蓬萊閣老師傅，致力復原當年的傳統手工臺菜，並將其精緻化呈現。熱門的金銀燒豬採用養殖二十一天的乳豬，低溫烘烤十二小時，再高溫烤至外皮酥脆。肚包雞把餡料塞入土雞，再以豬肚包覆燉煮。甜點紅豆煎口感軟嫩如麻糬，為餐點完美作結。建議提前預訂菜色。
